Inggris,Indo
such,sangat
a,sebuah
catchy,menarik
song,lagu
love,cinta
from,dari
shoes,sepatu
nice,bagus
here,di sini
omg,ya tuhan
i,saya
like,suka
vibe,nuansa
of,dari
don t,tidak
understand,mengerti
lyrics,lirik
at,pada
all,semua
being,menjadi
with,dengan
them,mereka
for,selama
years,tahun
as,sebagai
fan,penggemar
very,sangat
amazing,menakjubkan
journey,perjalanan
starting,mulai
only,hanya
limited,terbatas
information,informasi
more,lebih
and,dan
not,tidak
their,mereka
performance,penampilan
also,juga
personality,kepribadian
happy,bahagia
sadly,sedihnya
moments,momen
we,kita
ve,telah
been,pernah
through,melalui
will,akan
be,menjadi
spirit,semangat
forever,selamanya
filipino,filipina
congrats,selamat
thank,terima kasih
you,kamu
beautiful,indah
why,mengapa
does,apakah
sounds,kedengarannya
has,memiliki
similar,mirip
rhytme,ritme
what,apa
meaning,arti
this,ini
who,siapa
please,tolong
remove,hapus
info,informasi
each,setiap
time,waktu
hind,belakang
how,bagaimana
breathe,bernapas
relate,berkaitan
song,lagu
the,yang
soft,lembut
spoken,bicara
i'm,saya
even,bahkan
though,meskipun
unnie,kakak
lose,hilang
starting,mulai
loving,cinta
happy,senang
us,kami
im,saya
but,tapi
listening,mendengar
to this,ini
high school,sma
favorit,kesukaan
nice,baik
rhythm,ritme
other,lainnya
fyp,beranda
backsound,suara belakang
best,terbaik
u,kamu
